DateTime,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2004-02-01 00:00:00,2004-02-01 00:00,2004,2,1,00:00,-7.2,,-10.3,,78.0,,,M,,M,,M,101.13,,,,,,
2004-02-01 01:00:00,2004-02-01 01:00,2004,2,1,01:00,-7.3,,-10.3,,79.0,,,M,,M,,M,101.21,,,,,,
2004-02-01 02:00:00,2004-02-01 02:00,2004,2,1,02:00,,,,,,,,,,,,,,,,,,,
2004-02-01 03:00:00,2004-02-01 03:00,2004,2,1,03:00,,,,,,,,,,,,,,,,,,,
2004-02-01 04:00:00,2004-02-01 04:00,2004,2,1,04:00,-8.0,,-11.3,,77.0,,,M,,M,,M,101.45,,,,,,
2004-02-01 05:00:00,2004-02-01 05:00,2004,2,1,05:00,-8.2,,-10.9,,81.0,,,M,,M,,M,101.56,,,,,,
2004-02-01 06:00:00,2004-02-01 06:00,2004,2,1,06:00,-8.4,,-11.3,,80.0,,,M,,M,,M,101.55,,,,,,
2004-02-01 07:00:00,2004-02-01 07:00,2004,2,1,07:00,-8.6,,-11.7,,78.0,,,M,,M,,M,101.63,,,,,,
2004-02-01 08:00:00,2004-02-01 08:00,2004,2,1,08:00,-9.3,,-12.1,,80.0,,,M,,M,,M,101.76,,,,,,
2004-02-01 09:00:00,2004-02-01 09:00,2004,2,1,09:00,-7.4,,-11.2,,74.0,,,M,,M,,M,101.85,,,,,,
2004-02-01 10:00:00,2004-02-01 10:00,2004,2,1,10:00,-6.5,,-10.8,,71.0,,,M,,M,,M,101.91,,,,,,
2004-02-01 11:00:00,2004-02-01 11:00,2004,2,1,11:00,-5.6,,-10.9,,66.0,,,M,,M,,M,101.91,,,,,,
2004-02-01 12:00:00,2004-02-01 12:00,2004,2,1,12:00,-4.4,,-10.7,,61.0,,,M,,M,,M,101.88,,,,,,
2004-02-01 13:00:00,2004-02-01 13:00,2004,2,1,13:00,,,,,,,,,,,,,,,,,,,
2004-02-01 14:00:00,2004-02-01 14:00,2004,2,1,14:00,-2.8,,-10.4,,56.0,,,M,,M,,M,101.82,,,,,,
2004-02-01 15:00:00,2004-02-01 15:00,2004,2,1,15:00,-3.2,,-9.9,,60.0,,,M,,M,,M,101.84,,,,,,
2004-02-01 16:00:00,2004-02-01 16:00,2004,2,1,16:00,-2.9,,-9.8,,59.0,,,M,,M,,M,101.85,,,,,,
2004-02-01 17:00:00,2004-02-01 17:00,2004,2,1,17:00,-3.5,,-9.2,,65.0,,,M,,M,,M,101.9,,,,,,
2004-02-01 18:00:00,2004-02-01 18:00,2004,2,1,18:00,-4.4,,-9.0,,70.0,,,M,,M,,M,101.9,,,,,,
2004-02-01 19:00:00,2004-02-01 19:00,2004,2,1,19:00,-4.3,,-9.0,,70.0,,,M,,M,,M,101.96,,,,,,
2004-02-01 20:00:00,2004-02-01 20:00,2004,2,1,20:00,-4.6,,-9.7,,67.0,,,M,,M,,M,101.96,,,,,,
2004-02-01 21:00:00,2004-02-01 21:00,2004,2,1,21:00,-5.1,,-9.8,,70.0,,,M,,M,,M,101.99,,,,,,
2004-02-01 22:00:00,2004-02-01 22:00,2004,2,1,22:00,-5.1,,-9.9,,69.0,,,M,,M,,M,101.97,,,,,,
2004-02-01 23:00:00,2004-02-01 23:00,2004,2,1,23:00,-5.4,,-9.9,,71.0,,,M,,M,,M,102.0,,,,,,
2004-02-02 00:00:00,2004-02-02 00:00,2004,2,2,00:00,-5.8,,-10.2,,71.0,,,M,,M,,M,102.0,,,,,,
2004-02-02 01:00:00,2004-02-02 01:00,2004,2,2,01:00,-5.7,,-10.0,,72.0,,,M,,M,,M,101.99,,,,,,
2004-02-02 02:00:00,2004-02-02 02:00,2004,2,2,02:00,-6.1,,-10.4,,72.0,,,M,,M,,M,101.98,,,,,,
2004-02-02 03:00:00,2004-02-02 03:00,2004,2,2,03:00,-6.6,,-10.4,,74.0,,,M,,M,,M,101.97,,,,,,
2004-02-02 04:00:00,2004-02-02 04:00,2004,2,2,04:00,-6.2,,-10.4,,72.0,,,M,,M,,M,101.95,,,,,,
2004-02-02 05:00:00,2004-02-02 05:00,2004,2,2,05:00,-6.5,,-10.4,,74.0,,,M,,M,,M,101.94,,,,,,
2004-02-02 06:00:00,2004-02-02 06:00,2004,2,2,06:00,-5.9,,-9.5,,76.0,,,M,,M,,M,101.93,,,,,,
2004-02-02 07:00:00,2004-02-02 07:00,2004,2,2,07:00,,,,,,,,,,,,,,,,,,,
2004-02-02 08:00:00,2004-02-02 08:00,2004,2,2,08:00,-4.3,,-6.6,,84.0,,,M,,M,,M,101.91,,,,,,
2004-02-02 09:00:00,2004-02-02 09:00,2004,2,2,09:00,-3.0,,-4.7,,88.0,,,M,,M,,M,101.91,,,,,,
2004-02-02 10:00:00,2004-02-02 10:00,2004,2,2,10:00,,,,,,,,,,,,,,,,,,,
2004-02-02 11:00:00,2004-02-02 11:00,2004,2,2,11:00,-2.2,,-3.4,,91.0,,,M,,M,,M,101.83,,,,,,
2004-02-02 12:00:00,2004-02-02 12:00,2004,2,2,12:00,-1.7,,-3.2,,89.0,,,M,,M,,M,101.76,,,,,,
2004-02-02 13:00:00,2004-02-02 13:00,2004,2,2,13:00,-1.0,,-2.9,,87.0,,,M,,M,,M,101.64,,,,,,
2004-02-02 14:00:00,2004-02-02 14:00,2004,2,2,14:00,0.0,,-2.4,,84.0,,,M,,M,,M,101.5,,,,,,
2004-02-02 15:00:00,2004-02-02 15:00,2004,2,2,15:00,-0.4,,-2.6,,85.0,,,M,,M,,M,101.42,,,,,,
2004-02-02 16:00:00,2004-02-02 16:00,2004,2,2,16:00,-0.7,,-2.4,,88.0,,,M,,M,,M,101.39,,,,,,
2004-02-02 17:00:00,2004-02-02 17:00,2004,2,2,17:00,-0.9,,-2.5,,89.0,,,M,,M,,M,101.3,,,,,,
2004-02-02 18:00:00,2004-02-02 18:00,2004,2,2,18:00,-0.7,,-2.1,,90.0,,,M,,M,,M,101.22,,,,,,
2004-02-02 19:00:00,2004-02-02 19:00,2004,2,2,19:00,-0.5,,-1.9,,90.0,,,M,,M,,M,101.17,,,,,,
2004-02-02 20:00:00,2004-02-02 20:00,2004,2,2,20:00,-0.3,,-1.7,,90.0,,,M,,M,,M,101.05,,,,,,
2004-02-02 21:00:00,2004-02-02 21:00,2004,2,2,21:00,-0.3,,-1.5,,92.0,,,M,,M,,M,100.93,,,,,,
2004-02-02 22:00:00,2004-02-02 22:00,2004,2,2,22:00,0.1,,-1.0,,92.0,,,M,,M,,M,100.79,,,,,,
2004-02-02 23:00:00,2004-02-02 23:00,2004,2,2,23:00,0.7,,-0.8,,90.0,,,M,,M,,M,100.65,,,,,,
2004-02-03 00:00:00,2004-02-03 00:00,2004,2,3,00:00,1.1,,-0.6,,88.0,,,M,,M,,M,100.6,,,,,,
2004-02-03 01:00:00,2004-02-03 01:00,2004,2,3,01:00,1.3,,-1.8,,80.0,,,M,,M,,M,100.5,,,,,,
2004-02-03 02:00:00,2004-02-03 02:00,2004,2,3,02:00,,,,,,,,,,,,,,,,,,,
2004-02-03 03:00:00,2004-02-03 03:00,2004,2,3,03:00,,,,,,,,,,,,,,,,,,,
2004-02-03 04:00:00,2004-02-03 04:00,2004,2,3,04:00,1.5,,-2.2,,76.0,,,M,,M,,M,100.26,,,,,,
2004-02-03 05:00:00,2004-02-03 05:00,2004,2,3,05:00,,,,,,,,,,,,,,,,,,,
2004-02-03 06:00:00,2004-02-03 06:00,2004,2,3,06:00,0.7,,-0.8,,90.0,,,M,,M,,M,100.14,,,,,,
2004-02-03 07:00:00,2004-02-03 07:00,2004,2,3,07:00,0.7,,-0.4,,92.0,,,M,,M,,M,100.1,,,,,,
2004-02-03 08:00:00,2004-02-03 08:00,2004,2,3,08:00,0.6,,0.2,,97.0,,,M,,M,,M,100.02,,,,,,
2004-02-03 09:00:00,2004-02-03 09:00,2004,2,3,09:00,0.7,,0.4,,98.0,,,M,,M,,M,100.02,,,,,,
2004-02-03 10:00:00,2004-02-03 10:00,2004,2,3,10:00,1.3,,1.0,,98.0,,,M,,M,,M,99.96,,,,,,
2004-02-03 11:00:00,2004-02-03 11:00,2004,2,3,11:00,1.8,,1.3,,96.0,,,M,,M,,M,99.92,,,,,,
2004-02-03 12:00:00,2004-02-03 12:00,2004,2,3,12:00,2.1,,1.3,,94.0,,,M,,M,,M,99.84,,,,,,
2004-02-03 13:00:00,2004-02-03 13:00,2004,2,3,13:00,2.4,,1.7,,95.0,,,M,,M,,M,99.77,,,,,,
2004-02-03 14:00:00,2004-02-03 14:00,2004,2,3,14:00,2.1,,1.4,,95.0,,,M,,M,,M,99.67,,,,,,
2004-02-03 15:00:00,2004-02-03 15:00,2004,2,3,15:00,,,,,,,,,,,,,,,,,,,
2004-02-03 16:00:00,2004-02-03 16:00,2004,2,3,16:00,2.1,,1.5,,96.0,,,M,,M,,M,99.65,,,,,,
2004-02-03 17:00:00,2004-02-03 17:00,2004,2,3,17:00,2.3,,1.8,,96.0,,,M,,M,,M,99.63,,,,,,
