DateTime,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2008-12-01 00:00:00,2008-12-01 00:00,2008,12,1,00:00,0.1,,-0.6,,95,,7.0,,20,,,,98.82,,,,,,
2008-12-01 01:00:00,2008-12-01 01:00,2008,12,1,01:00,0.3,,-0.4,,95,,7.0,,24,,,,98.62,,,,,,
2008-12-01 02:00:00,2008-12-01 02:00,2008,12,1,02:00,0.5,,-0.1,,96,,7.0,,30,,,,98.49,,,,,,
2008-12-01 03:00:00,2008-12-01 03:00,2008,12,1,03:00,0.5,,-0.1,,96,,7.0,,26,,,,98.36,,,,,,
2008-12-01 04:00:00,2008-12-01 04:00,2008,12,1,04:00,0.5,,-0.1,,96,,7.0,,22,,,,98.25,,,,,,
2008-12-01 05:00:00,2008-12-01 05:00,2008,12,1,05:00,0.4,,0.1,,98,,8.0,,26,,,,98.08,,,,,,
2008-12-01 06:00:00,2008-12-01 06:00,2008,12,1,06:00,0.6,,0.2,,97,,8.0,,24,,,,98.03,,,,,,
2008-12-01 07:00:00,2008-12-01 07:00,2008,12,1,07:00,0.7,,0.5,,99,,8.0,,15,,,,98.04,,,,,,
2008-12-01 08:00:00,2008-12-01 08:00,2008,12,1,08:00,0.8,,0.6,,99,,11.0,,11,,,,98.02,,,,,,
2008-12-01 09:00:00,2008-12-01 09:00,2008,12,1,09:00,1.4,,1.2,,99,,13.0,,11,,,,98.06,,,,,,
2008-12-01 10:00:00,2008-12-01 10:00,2008,12,1,10:00,3.0,,2.5,,97,,16.0,,11,,,,98.05,,,,,,
2008-12-01 11:00:00,2008-12-01 11:00,2008,12,1,11:00,4.1,,2.9,,92,,19.0,,20,,,,98.08,,,,,,
2008-12-01 12:00:00,2008-12-01 12:00,2008,12,1,12:00,3.8,,1.3,,84,,21.0,,17,,,,98.14,,,,,,
2008-12-01 13:00:00,2008-12-01 13:00,2008,12,1,13:00,3.5,,1.5,,87,,20.0,,17,,,,98.2,,,,,,
2008-12-01 14:00:00,2008-12-01 14:00,2008,12,1,14:00,2.9,,1.1,,88,,20.0,,17,,,,98.26,,,,,,
2008-12-01 15:00:00,2008-12-01 15:00,2008,12,1,15:00,3.2,,1.5,,89,,21.0,,17,,,,98.32,,,,,,
2008-12-01 16:00:00,2008-12-01 16:00,2008,12,1,16:00,2.9,,1.6,,91,,20.0,,6,,,,98.36,,,,,,
2008-12-01 17:00:00,2008-12-01 17:00,2008,12,1,17:00,2.1,,0.9,,92,,20.0,,13,,,,98.45,,,,,,
2008-12-01 18:00:00,2008-12-01 18:00,2008,12,1,18:00,1.6,,0.9,,95,,20.0,,7,,,,98.5,,,,,,
