DateTime,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2012-08-01 00:00:00,2012-08-01 00:00,2012,8,1,00:00,17.7,,14.8,,83,,25.0,,7,,,,98.84,,,,,,
2012-08-01 01:00:00,2012-08-01 01:00,2012,8,1,01:00,16.8,,15.0,,89,,23.0,,4,,,,98.84,,,,,,
2012-08-01 02:00:00,2012-08-01 02:00,2012,8,1,02:00,16.0,,14.5,,91,,27.0,,6,,,,98.81,,,,,,
2012-08-01 03:00:00,2012-08-01 03:00,2012,8,1,03:00,15.9,,14.7,,93,,25.0,,6,,,,98.74,,,,,,
2012-08-01 04:00:00,2012-08-01 04:00,2012,8,1,04:00,14.9,,13.9,,94,,28.0,,4,,,,98.66,,,,,,
2012-08-01 05:00:00,2012-08-01 05:00,2012,8,1,05:00,14.2,,13.0,,92,,24.0,,6,,,,98.62,,,,,,
2012-08-01 06:00:00,2012-08-01 06:00,2012,8,1,06:00,14.6,,14.1,,97,,26.0,,7,,,,98.64,,,,,,
2012-08-01 07:00:00,2012-08-01 07:00,2012,8,1,07:00,16.6,,15.7,,94,,26.0,,4,,,,98.58,,,,,,
2012-08-01 08:00:00,2012-08-01 08:00,2012,8,1,08:00,20.1,,16.8,,81,,15.0,,2,,,,98.52,,25.0,,,,
2012-08-01 09:00:00,2012-08-01 09:00,2012,8,1,09:00,24.3,,18.2,,69,,23.0,,6,,,,98.47,,30.0,,,,
2012-08-01 10:00:00,2012-08-01 10:00,2012,8,1,10:00,26.1,,18.1,,61,,24.0,,19,,,,98.39,,32.0,,,,
2012-08-01 11:00:00,2012-08-01 11:00,2012,8,1,11:00,28.0,,18.5,,56,,24.0,,17,,,,98.23,,34.0,,,,
2012-08-01 12:00:00,2012-08-01 12:00,2012,8,1,12:00,29.4,,18.9,,53,,22.0,,19,,,,98.12,,36.0,,,,
2012-08-01 13:00:00,2012-08-01 13:00,2012,8,1,13:00,29.8,,19.1,,53,,23.0,,20,,,,98.05,,37.0,,,,
2012-08-01 14:00:00,2012-08-01 14:00,2012,8,1,14:00,26.7,,21.1,,71,,23.0,,9,,,,98.05,,35.0,,,,
2012-08-01 15:00:00,2012-08-01 15:00,2012,8,1,15:00,30.1,,20.7,,57,,22.0,,19,,,,98.04,,38.0,,,,
2012-08-01 16:00:00,2012-08-01 16:00,2012,8,1,16:00,29.5,,20.8,,60,,20.0,,11,,,,97.94,,38.0,,,,
2012-08-01 17:00:00,2012-08-01 17:00,2012,8,1,17:00,31.0,,20.0,,52,,27.0,,15,,,,97.97,,39.0,,,,
2012-08-01 18:00:00,2012-08-01 18:00,2012,8,1,18:00,31.0,,17.0,,43,,29.0,,20,,,,98.0,,36.0,,,,
