DateTime,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2018-08-01 00:00:00,2018-08-01 00:00,2018,8,1,00:00,23.0,,19.1,,79,,,M,,M,,,100.02,,30.0,,,,
2018-08-01 01:00:00,2018-08-01 01:00,2018,8,1,01:00,23.0,,18.4,,75,,,M,,M,,,100.0,,29.0,,,,
2018-08-01 02:00:00,2018-08-01 02:00,2018,8,1,02:00,22.6,,18.4,,77,,,M,,M,,,99.94,,29.0,,,,
2018-08-01 03:00:00,2018-08-01 03:00,2018,8,1,03:00,22.5,,18.4,,78,,,M,,M,,,99.91,,29.0,,,,
2018-08-01 04:00:00,2018-08-01 04:00,2018,8,1,04:00,22.4,,18.7,,79,,,M,,M,,,99.87,,29.0,,,,
2018-08-01 05:00:00,2018-08-01 05:00,2018,8,1,05:00,22.5,,19.1,,81,,,M,,M,,,99.85,,29.0,,,,
2018-08-01 06:00:00,2018-08-01 06:00,2018,8,1,06:00,23.3,,19.0,,77,,,M,,M,,,99.84,,30.0,,,,
2018-08-01 07:00:00,2018-08-01 07:00,2018,8,1,07:00,23.3,,18.9,,76,,,M,,M,,,99.85,,30.0,,,,
2018-08-01 08:00:00,2018-08-01 08:00,2018,8,1,08:00,23.6,,18.9,,75,,,M,,M,,,99.83,,30.0,,,,
2018-08-01 09:00:00,2018-08-01 09:00,2018,8,1,09:00,23.9,,19.2,,75,,,M,,M,,,99.82,,31.0,,,,
2018-08-01 10:00:00,2018-08-01 10:00,2018,8,1,10:00,24.4,,19.1,,72,,,M,,M,,,99.85,,31.0,,,,
2018-08-01 11:00:00,2018-08-01 11:00,2018,8,1,11:00,25.6,,19.8,,70,,,M,,M,,,99.85,,33.0,,,,
2018-08-01 12:00:00,2018-08-01 12:00,2018,8,1,12:00,24.7,,18.8,,70,,,M,,M,,,99.84,,31.0,,,,
2018-08-01 13:00:00,2018-08-01 13:00,2018,8,1,13:00,25.0,,18.9,,69,,,M,,M,,,99.83,,32.0,,,,
2018-08-01 14:00:00,2018-08-01 14:00,2018,8,1,14:00,25.1,,18.5,,67,,,M,,M,,,99.79,,31.0,,,,
2018-08-01 15:00:00,2018-08-01 15:00,2018,8,1,15:00,25.3,,18.0,,64,,,M,,M,,,99.77,,31.0,,,,
2018-08-01 16:00:00,2018-08-01 16:00,2018,8,1,16:00,25.2,,18.3,,65,,,M,,M,,,99.81,,31.0,,,,
2018-08-01 17:00:00,2018-08-01 17:00,2018,8,1,17:00,24.7,,18.7,,69,,,M,,M,,,99.82,,31.0,,,,
2018-08-01 18:00:00,2018-08-01 18:00,2018,8,1,18:00,24.9,,17.5,,64,,,M,,M,,,99.85,,31.0,,,,
2018-08-01 19:00:00,2018-08-01 19:00,2018,8,1,19:00,24.4,,17.9,,67,,,M,,M,,,99.86,,30.0,,,,
2018-08-01 20:00:00,2018-08-01 20:00,2018,8,1,20:00,24.0,,17.6,,68,,,M,,M,,,99.95,,30.0,,,,
2018-08-01 21:00:00,2018-08-01 21:00,2018,8,1,21:00,23.4,,17.6,,70,,,M,,M,,,100.04,,29.0,,,,
2018-08-01 22:00:00,2018-08-01 22:00,2018,8,1,22:00,23.1,,17.0,,69,,,M,,M,,,100.06,,28.0,,,,
2018-08-01 23:00:00,2018-08-01 23:00,2018,8,1,23:00,22.7,,16.8,,70,,,M,,M,,,100.1,,28.0,,,,
2018-08-02 00:00:00,2018-08-02 00:00,2018,8,2,00:00,22.3,,16.6,,70,,,M,,M,,,100.11,,27.0,,,,
2018-08-02 01:00:00,2018-08-02 01:00,2018,8,2,01:00,21.4,,17.3,,78,,,M,,M,,,100.12,,27.0,,,,
2018-08-02 02:00:00,2018-08-02 02:00,2018,8,2,02:00,21.4,,17.4,,78,,,M,,M,,,100.14,,27.0,,,,
2018-08-02 03:00:00,2018-08-02 03:00,2018,8,2,03:00,21.0,,17.4,,80,,,M,,M,,,100.15,,27.0,,,,
2018-08-02 04:00:00,2018-08-02 04:00,2018,8,2,04:00,20.8,,17.6,,82,,,M,,M,,,100.18,,27.0,,,,
2018-08-02 05:00:00,2018-08-02 05:00,2018,8,2,05:00,20.3,,16.8,,80,,,M,,M,,,100.19,,25.0,,,,
2018-08-02 06:00:00,2018-08-02 06:00,2018,8,2,06:00,20.6,,17.2,,81,,,M,,M,,,100.28,,26.0,,,,
2018-08-02 07:00:00,2018-08-02 07:00,2018,8,2,07:00,21.2,,17.3,,78,,,M,,M,,,100.33,,27.0,,,,
2018-08-02 08:00:00,2018-08-02 08:00,2018,8,2,08:00,22.6,,17.1,,71,,,M,,M,,,100.35,,28.0,,,,
2018-08-02 09:00:00,2018-08-02 09:00,2018,8,2,09:00,23.7,,16.1,,62,,,M,,M,,,100.36,,28.0,,,,
2018-08-02 10:00:00,2018-08-02 10:00,2018,8,2,10:00,24.9,,16.3,,59,,,M,,M,,,100.36,,30.0,,,,
2018-08-02 11:00:00,2018-08-02 11:00,2018,8,2,11:00,25.4,,15.2,,53,,,M,,M,,,100.37,,29.0,,,,
2018-08-02 12:00:00,2018-08-02 12:00,2018,8,2,12:00,26.7,,16.1,,52,,,M,,M,,,100.37,,31.0,,,,
2018-08-02 13:00:00,2018-08-02 13:00,2018,8,2,13:00,26.3,,17.0,,57,,,M,,M,,,100.36,,32.0,,,,
2018-08-02 14:00:00,2018-08-02 14:00,2018,8,2,14:00,27.5,,15.6,,48,,,M,,M,,,100.32,,32.0,,,,
2018-08-02 15:00:00,2018-08-02 15:00,2018,8,2,15:00,28.0,,14.9,,45,,,M,,M,,,100.29,,32.0,,,,
2018-08-02 16:00:00,2018-08-02 16:00,2018,8,2,16:00,26.7,,17.8,,58,,,M,,M,,,100.27,,33.0,,,,
2018-08-02 17:00:00,2018-08-02 17:00,2018,8,2,17:00,26.0,,17.2,,58,,,M,,M,,,100.27,,31.0,,,,
2018-08-02 18:00:00,2018-08-02 18:00,2018,8,2,18:00,25.8,,17.0,,58,,,M,,M,,,100.24,,31.0,,,,
2018-08-02 19:00:00,2018-08-02 19:00,2018,8,2,19:00,25.3,,16.9,,60,,,M,,M,,,100.28,,31.0,,,,
2018-08-02 20:00:00,2018-08-02 20:00,2018,8,2,20:00,24.5,,17.3,,65,,,M,,M,,,100.33,,30.0,,,,
2018-08-02 21:00:00,2018-08-02 21:00,2018,8,2,21:00,23.8,,17.9,,70,,,M,,M,,,100.37,,30.0,,,,
2018-08-02 22:00:00,2018-08-02 22:00,2018,8,2,22:00,23.6,,17.6,,69,,,M,,M,,,100.39,,29.0,,,,
2018-08-02 23:00:00,2018-08-02 23:00,2018,8,2,23:00,23.0,,17.3,,70,,,M,,M,,,100.42,,28.0,,,,
2018-08-03 00:00:00,2018-08-03 00:00,2018,8,3,00:00,22.4,,17.9,,76,,,M,,M,,,100.41,,28.0,,,,
2018-08-03 01:00:00,2018-08-03 01:00,2018,8,3,01:00,22.1,,18.1,,78,,,M,,M,,,100.4,,28.0,,,,
2018-08-03 02:00:00,2018-08-03 02:00,2018,8,3,02:00,21.7,,18.1,,80,,,M,,M,,,100.39,,28.0,,,,
2018-08-03 03:00:00,2018-08-03 03:00,2018,8,3,03:00,20.8,,17.7,,82,,,M,,M,,,100.4,,27.0,,,,
2018-08-03 04:00:00,2018-08-03 04:00,2018,8,3,04:00,21.0,,17.9,,83,,,M,,M,,,100.37,,27.0,,,,
2018-08-03 05:00:00,2018-08-03 05:00,2018,8,3,05:00,20.9,,17.7,,82,,,M,,M,,,100.42,,27.0,,,,
2018-08-03 06:00:00,2018-08-03 06:00,2018,8,3,06:00,21.5,,18.6,,84,,,M,,M,,,100.48,,28.0,,,,
2018-08-03 07:00:00,2018-08-03 07:00,2018,8,3,07:00,22.5,,18.9,,81,,,M,,M,,,100.5,,29.0,,,,
2018-08-03 08:00:00,2018-08-03 08:00,2018,8,3,08:00,23.8,,18.2,,71,,,M,,M,,,100.53,,30.0,,,,
2018-08-03 09:00:00,2018-08-03 09:00,2018,8,3,09:00,24.8,,15.7,,57,,,M,,M,,,100.53,,29.0,,,,
2018-08-03 10:00:00,2018-08-03 10:00,2018,8,3,10:00,25.9,,17.8,,61,,,M,,M,,,100.53,,32.0,,,,
2018-08-03 11:00:00,2018-08-03 11:00,2018,8,3,11:00,26.5,,17.2,,57,,,M,,M,,,100.54,,32.0,,,,
2018-08-03 12:00:00,2018-08-03 12:00,2018,8,3,12:00,26.5,,17.8,,59,,,M,,M,,,100.54,,32.0,,,,
2018-08-03 13:00:00,2018-08-03 13:00,2018,8,3,13:00,28.1,,18.3,,56,,,M,,M,,,100.5,,34.0,,,,
2018-08-03 14:00:00,2018-08-03 14:00,2018,8,3,14:00,27.2,,18.0,,57,,,M,,M,,,100.45,,33.0,,,,
2018-08-03 15:00:00,2018-08-03 15:00,2018,8,3,15:00,26.4,,18.3,,61,,,M,,M,,,100.4,,33.0,,,,
2018-08-03 16:00:00,2018-08-03 16:00,2018,8,3,16:00,26.1,,18.7,,64,,,M,,M,,,100.38,,33.0,,,,
2018-08-03 17:00:00,2018-08-03 17:00,2018,8,3,17:00,25.0,,17.6,,64,,,M,,M,,,100.38,,31.0,,,,
2018-08-03 18:00:00,2018-08-03 18:00,2018,8,3,18:00,24.5,,19.0,,71,,,M,,M,,,100.39,,31.0,,,,
2018-08-03 19:00:00,2018-08-03 19:00,2018,8,3,19:00,24.0,,19.0,,74,,,M,,M,,,100.41,,31.0,,,,
2018-08-03 20:00:00,2018-08-03 20:00,2018,8,3,20:00,23.6,,19.2,,76,,,M,,M,,,100.42,,31.0,,,,
2018-08-03 21:00:00,2018-08-03 21:00,2018,8,3,21:00,23.6,,19.1,,76,,,M,,M,,,100.4,,30.0,,,,
2018-08-03 22:00:00,2018-08-03 22:00,2018,8,3,22:00,23.2,,18.0,,73,,,M,,M,,,100.44,,29.0,,,,
2018-08-03 23:00:00,2018-08-03 23:00,2018,8,3,23:00,23.0,,18.6,,77,,,M,,M,,,100.46,,29.0,,,,
2018-08-04 00:00:00,2018-08-04 00:00,2018,8,4,00:00,22.7,,18.9,,79,,,M,,M,,,100.46,,29.0,,,,
2018-08-04 01:00:00,2018-08-04 01:00,2018,8,4,01:00,21.9,,19.1,,84,,,M,,M,,,100.39,,29.0,,,,
2018-08-04 02:00:00,2018-08-04 02:00,2018,8,4,02:00,21.3,,18.8,,86,,,M,,M,,,100.42,,28.0,,,,
2018-08-04 03:00:00,2018-08-04 03:00,2018,8,4,03:00,21.1,,19.0,,88,,,M,,M,,,100.42,,28.0,,,,
2018-08-04 04:00:00,2018-08-04 04:00,2018,8,4,04:00,20.7,,18.7,,89,,,M,,M,,,100.41,,27.0,,,,
2018-08-04 05:00:00,2018-08-04 05:00,2018,8,4,05:00,20.6,,18.8,,89,,,M,,M,,,100.44,,27.0,,,,
2018-08-04 06:00:00,2018-08-04 06:00,2018,8,4,06:00,21.0,,19.1,,89,,,M,,M,,,100.48,,28.0,,,,
2018-08-04 07:00:00,2018-08-04 07:00,2018,8,4,07:00,22.6,,19.8,,84,,,M,,M,,,100.56,,30.0,,,,
2018-08-04 08:00:00,2018-08-04 08:00,2018,8,4,08:00,23.7,,19.8,,79,,,M,,M,,,100.57,,31.0,,,,
2018-08-04 09:00:00,2018-08-04 09:00,2018,8,4,09:00,24.6,,18.9,,71,,,M,,M,,,100.58,,31.0,,,,
2018-08-04 10:00:00,2018-08-04 10:00,2018,8,4,10:00,26.5,,19.1,,64,,,M,,M,,,100.58,,33.0,,,,
2018-08-04 11:00:00,2018-08-04 11:00,2018,8,4,11:00,26.3,,18.7,,63,,,M,,M,,,100.58,,33.0,,,,
