DateTime,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2015-05-01 00:00:00,2015-05-01 00:00,2015,5,1,00:00,10.7,,5.1,,68,,32.0,,10,,24.1,,99.36,,,,,,
2015-05-01 01:00:00,2015-05-01 01:00,2015,5,1,01:00,10.1,,5.3,,72,,35.0,,13,,24.1,,99.36,,,,,,Mainly Clear
2015-05-01 02:00:00,2015-05-01 02:00,2015,5,1,02:00,10.0,,5.4,,73,,33.0,,18,,24.1,,99.35,,,,,,
2015-05-01 03:00:00,2015-05-01 03:00,2015,5,1,03:00,9.1,,4.9,,75,,35.0,,14,,24.1,,99.37,,,,,,
2015-05-01 04:00:00,2015-05-01 04:00,2015,5,1,04:00,8.8,,4.6,,75,,34.0,,13,,24.1,,99.4,,,,,,Mainly Clear
2015-05-01 05:00:00,2015-05-01 05:00,2015,5,1,05:00,8.0,,4.4,,78,,36.0,,17,,24.1,,99.46,,,,,,
2015-05-01 06:00:00,2015-05-01 06:00,2015,5,1,06:00,8.0,,4.4,,78,,33.0,,11,,24.1,,99.52,,,,,,
2015-05-01 07:00:00,2015-05-01 07:00,2015,5,1,07:00,10.3,,4.9,,69,,33.0,,19,,24.1,,99.56,,,,,,Mostly Cloudy
2015-05-01 08:00:00,2015-05-01 08:00,2015,5,1,08:00,12.4,,5.4,,62,,34.0,,20,,24.1,,99.6,,,,,,
2015-05-01 09:00:00,2015-05-01 09:00,2015,5,1,09:00,14.6,,6.3,,57,,35.0,,14,,24.1,,99.61,,,,,,
2015-05-01 10:00:00,2015-05-01 10:00,2015,5,1,10:00,17.3,,5.7,,46,,36.0,,19,,24.1,,99.6,,,,,,Mostly Cloudy
2015-05-01 11:00:00,2015-05-01 11:00,2015,5,1,11:00,18.9,,5.1,,40,,2.0,,21,,24.1,,99.59,,,,,,
2015-05-01 12:00:00,2015-05-01 12:00,2015,5,1,12:00,20.0,,5.4,,38,,3.0,,21,,24.1,,99.55,,,,,,
2015-05-01 13:00:00,2015-05-01 13:00,2015,5,1,13:00,19.1,,5.3,,40,,1.0,,16,,24.1,,99.53,,,,,,Mostly Cloudy
2015-05-01 14:00:00,2015-05-01 14:00,2015,5,1,14:00,20.5,,5.5,,37,,34.0,,12,,24.1,,99.5,,,,,,
2015-05-01 15:00:00,2015-05-01 15:00,2015,5,1,15:00,19.9,,3.7,,34,,34.0,,24,,24.1,,99.45,,,,,,
2015-05-01 16:00:00,2015-05-01 16:00,2015,5,1,16:00,20.2,,4.0,,34,,36.0,,16,,24.1,,99.42,,,,,,Mostly Cloudy
2015-05-01 17:00:00,2015-05-01 17:00,2015,5,1,17:00,20.4,,4.2,,34,,1.0,,19,,24.1,,99.43,,,,,,
2015-05-01 18:00:00,2015-05-01 18:00,2015,5,1,18:00,19.3,,2.8,,33,,36.0,,25,,24.1,,99.43,,,,,,
2015-05-01 19:00:00,2015-05-01 19:00,2015,5,1,19:00,17.5,,2.8,,37,,36.0,,22,,24.1,,99.47,,,,,,Mainly Clear
2015-05-01 20:00:00,2015-05-01 20:00,2015,5,1,20:00,16.0,,2.5,,40,,36.0,,24,,24.1,,99.51,,,,,,
2015-05-01 21:00:00,2015-05-01 21:00,2015,5,1,21:00,13.9,,0.9,,41,,36.0,,16,,24.1,,99.56,,,,,,
2015-05-01 22:00:00,2015-05-01 22:00,2015,5,1,22:00,13.4,,0.8,,42,,35.0,,22,,24.1,,99.58,,,,,,Clear
2015-05-01 23:00:00,2015-05-01 23:00,2015,5,1,23:00,11.5,,1.2,,49,,33.0,,11,,24.1,,99.58,,,,,,
2015-05-02 00:00:00,2015-05-02 00:00,2015,5,2,00:00,10.3,,1.4,,54,,33.0,,15,,24.1,,99.61,,,,,,
2015-05-02 01:00:00,2015-05-02 01:00,2015,5,2,01:00,9.9,,1.6,,56,,31.0,,14,,24.1,,99.59,,,,,,Clear
2015-05-02 02:00:00,2015-05-02 02:00,2015,5,2,02:00,8.9,,1.6,,60,,32.0,,13,,24.1,,99.58,,,,,,
2015-05-02 03:00:00,2015-05-02 03:00,2015,5,2,03:00,8.3,,2.8,,68,,32.0,,10,,24.1,,99.58,,,,,,
2015-05-02 04:00:00,2015-05-02 04:00,2015,5,2,04:00,7.6,,2.7,,71,,35.0,,9,,24.1,,99.58,,,,,,Mainly Clear
2015-05-02 05:00:00,2015-05-02 05:00,2015,5,2,05:00,6.9,,2.6,,74,,32.0,,11,,24.1,,99.63,,,,,,
2015-05-02 06:00:00,2015-05-02 06:00,2015,5,2,06:00,9.4,,3.4,,66,,31.0,,8,,24.1,,99.66,,,,,,
2015-05-02 07:00:00,2015-05-02 07:00,2015,5,2,07:00,11.8,,4.1,,59,,33.0,,7,,24.1,,99.7,,,,,,Mostly Cloudy
2015-05-02 08:00:00,2015-05-02 08:00,2015,5,2,08:00,14.9,,3.8,,47,,33.0,,9,,24.1,,99.7,,,,,,
2015-05-02 09:00:00,2015-05-02 09:00,2015,5,2,09:00,17.1,,3.2,,39,,3.0,,6,,24.1,,99.67,,,,,,
2015-05-02 10:00:00,2015-05-02 10:00,2015,5,2,10:00,19.1,,5.0,,39,,27.0,,3,,24.1,,99.65,,,,,,Mostly Cloudy
2015-05-02 11:00:00,2015-05-02 11:00,2015,5,2,11:00,19.9,,3.7,,34,,16.0,,4,,24.1,,99.62,,,,,,
2015-05-02 12:00:00,2015-05-02 12:00,2015,5,2,12:00,20.4,,5.0,,36,,15.0,,23,,24.1,,99.59,,,,,,
2015-05-02 13:00:00,2015-05-02 13:00,2015,5,2,13:00,20.6,,3.9,,33,,14.0,,21,,24.1,,99.53,,,,,,Mostly Cloudy
2015-05-02 14:00:00,2015-05-02 14:00,2015,5,2,14:00,21.8,,3.6,,30,,18.0,,20,,24.1,,99.45,,,,,,
2015-05-02 15:00:00,2015-05-02 15:00,2015,5,2,15:00,21.7,,3.1,,29,,16.0,,20,,24.1,,99.4,,,,,,
2015-05-02 16:00:00,2015-05-02 16:00,2015,5,2,16:00,22.0,,4.7,,32,,21.0,,13,,24.1,,99.37,,,,,,Mostly Cloudy
2015-05-02 17:00:00,2015-05-02 17:00,2015,5,2,17:00,21.4,,4.6,,33,,16.0,,16,,24.1,,99.35,,,,,,
