,Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
5100,ATTAWAPISKAT A,ONTARIO,6010400,52918,71653.0,YAT,52.93,-82.43,525539000,-822555000,9.1,2015,2019,2015.0,2019.0,2015.0,2019.0,,
5101,BIG TROUT LAKE A,ONTARIO,6010735,49488,71675.0,YTL,53.82,-89.9,534904000,-895349000,222.5,2011,2019,2011.0,2019.0,2011.0,2019.0,,
5104,BIG TROUT LAKE,ONTARIO,6010740,50857,71208.0,OTL,53.82,-89.89,534858000,-895330000,222.5,2012,2019,2012.0,2019.0,2012.0,2019.0,,
5108,EAR FALLS (AUT),ONTARIO,6012199,27865,71295.0,XEA,50.63,-93.22,503750000,-931317000,362.6,1999,2019,2000.0,2019.0,1999.0,2019.0,1999.0,2006.0
5111,FORT SEVERN A,ONTARIO,6012500,45447,,YER,56.02,-87.68,560108000,-874034000,15.8,2006,2013,2006.0,2013.0,2006.0,2013.0,,
5112,FORT SEVERN A,ONTARIO,6012501,51219,71099.0,YER,56.02,-87.68,560108000,-874034000,15.8,2013,2019,2013.0,2019.0,2013.0,2019.0,,
5114,LANSDOWNE HOUSE A,ONTARIO,6014351,51237,,YLH,52.2,-87.93,521144000,-875603000,254.2,2013,2019,2013.0,2019.0,2018.0,2019.0,,
5116,LANSDOWNE HOUSE A,ONTARIO,6014355,43910,,YLH,52.2,-87.94,521145000,-875610000,254.2,2005,2013,2005.0,2013.0,,,,
5117,MUSKRAT DAM A,ONTARIO,6015025,44483,71755.0,ZMD,53.44,-91.76,532629000,-914546000,277.7,2005,2012,2005.0,2012.0,2006.0,2012.0,,
5118,MUSKRAT DAM,ONTARIO,6015026,50722,71678.0,ZMD,53.44,-91.76,532629000,-914546000,277.7,2012,2019,2012.0,2019.0,2012.0,2019.0,,
5120,PEAWANUCK A,ONTARIO,6016298,52878,,YPO,54.99,-85.44,545917000,-852636000,52.7,2014,2019,2014.0,2019.0,2018.0,2019.0,,
5123,PICKLE LAKE A,ONTARIO,6016528,52418,,YPL,51.45,-90.21,512647000,-901251000,386.2,2013,2019,2013.0,2019.0,2018.0,2019.0,,
5124,PICKLE LAKE A,ONTARIO,6016529,50478,71845.0,YPL,51.45,-90.21,512647000,-901251000,386.2,2012,2019,2012.0,2019.0,2012.0,2018.0,,
5126,RED LAKE A,ONTARIO,6016970,50248,71854.0,YRL,51.07,-93.79,510402000,-934735000,385.9,2012,2019,2012.0,2019.0,2012.0,2018.0,,
5127,RED LAKE A,ONTARIO,6016971,52419,,YRL,51.07,-93.79,510402000,-934735000,385.9,2013,2019,2013.0,2019.0,2018.0,2019.0,,
